SERIALNUMBER	BOTTOM	COVERLAY	DIELECTRIC	INNER	ALL
20UPGPQ4610202	30.20	77.20	83.80	12.50	225.00	28.90
20UPGPQ4610203	30.20	77.20	84.80	10.50	225.00	28.40
20UPGPQ4610204	29.70	80.20	83.30	11.50	227.00	29.40
20UPGPQ4610206	29.20	79.70	84.30	11.50	226.50	31.40
20UPGPQ4610207	28.70	80.70	83.80	13.00	226.00	32.40
20UPGPQ4610208	29.20	80.20	83.30	13.00	226.50	31.40
20UPGPQ4610209	33.20	79.20	83.80	11.00	230.00	33.40
20UPGPQ4610210	30.70	81.70	83.30	10.50	225.50	29.40
20UPGPQ4610211	30.70	80.70	83.80	12.00	225.50	30.40
20UPGPQ4610212	30.70	81.20	82.30	12.00	226.50	30.90
20UPGPQ4610213	35.20	79.20	83.30	9.50	230.00	31.90
20UPGPQ4610214	31.70	80.70	82.80	10.00	226.00	30.40
20UPGPQ4610215	30.20	80.70	83.30	11.00	226.00	30.40
20UPGPQ4610216	29.70	79.70	82.80	11.50	225.50	29.40
20UPGPQ4610217	34.20	83.20	83.30	11.00	228.00	30.90
20UPGPQ4610219	31.20	82.20	82.30	12.00	225.50	29.40
20UPGPQ4610220	31.70	81.20	83.30	11.00	227.50	29.90
20UPGPQ4610221	33.20	80.70	83.80	10.00	228.50	30.40
20UPGPQ4610222	32.20	82.70	84.80	10.00	226.00	27.40
20UPGPQ4610223	31.20	81.20	82.80	12.50	225.50	28.90
20UPGPQ4610224	33.20	82.70	82.30	11.50	224.50	29.40
20UPGPQ4610226	32.20	81.20	83.30	11.00	224.50	27.90
20UPGPQ4610227	33.70	80.70	83.80	10.00	225.00	27.40
20UPGPQ4610228	32.70	81.20	84.80	10.50	225.50	26.90
20UPGPQ4610229	30.70	82.70	83.30	12.00	228.00	30.90
20UPGPQ4610230	29.20	80.70	83.80	12.00	226.50	28.40
20UPGPQ4610231	30.70	81.20	83.80	11.50	227.50	28.90
20UPGPQ4610232	31.70	81.20	83.30	13.00	228.00	31.90
20UPGPQ4610233	33.20	80.70	84.30	10.00	229.00	30.90
20UPGPQ4610234	32.70	82.20	84.30	9.50	227.50	29.90
20UPGPQ4610235	30.70	79.70	84.30	11.50	226.50	30.40
20UPGPQ4610236	32.20	82.70	83.80	11.00	229.00	31.90
20UPGPQ4610237	31.70	83.20	84.30	11.00	230.00	29.90
20UPGPQ4610238	32.70	82.70	83.30	11.00	230.50	30.40
20UPGPQ4610239	32.70	81.70	83.80	11.00	229.00	29.90
20UPGPQ4610240	32.70	81.20	84.80	10.00	231.50	31.40
20UPGPQ4610241	32.70	80.70	84.30	10.00	228.00	29.40
20UPGPQ4610242	32.20	80.20	84.30	10.50	225.00	26.90
20UPGPQ4610244	32.20	81.70	84.30	11.00	226.50	27.90
20UPGPQ4610245	32.70	80.20	84.30	11.00	230.00	30.90
20UPGPQ4610246	33.20	82.20	87.30	10.50	229.50	28.90
20UPGPQ4610247	33.20	83.20	83.80	10.50	228.00	28.40
20UPGPQ4610248	32.70	81.70	84.30	10.00	228.50	29.90
20UPGPQ4610249	33.70	82.20	84.30	10.50	233.50	31.40
20UPGPQ4610250	34.70	80.70	84.30	10.00	230.50	28.40
20UPGPQ4610251	34.20	82.70	83.30	10.50	229.50	30.40
20UPGPQ4610252	34.70	81.20	82.30	11.00	231.00	30.40
20UPGPQ4611013	33.20	73.70	82.80	11.00	228.50	33.40
20UPGPQ4611014	30.20	73.20	82.80	12.00	227.50	31.90
20UPGPQ4611015	30.70	75.20	84.80	11.50	226.50	31.40
20UPGPQ4611017	33.70	74.70	83.80	10.50	229.00	33.90
20UPGPQ4611018	30.70	75.20	84.30	11.00	227.00	30.90
20UPGPQ4611019	32.20	77.20	83.80	11.00	226.50	31.90
20UPGPQ4611020	30.70	74.70	83.80	11.00	226.00	32.40
20UPGPQ4611021	33.70	75.20	84.80	9.50	232.00	32.40
20UPGPQ4611022	32.20	75.70	85.30	9.50	231.00	30.90
20UPGPQ4611024	31.70	77.70	84.80	10.50	229.50	30.90
20UPGPQ4611025	33.20	75.70	84.80	10.00	229.50	31.90
20UPGPQ4611026	31.70	76.20	83.30	10.00	223.50	30.90
20UPGPQ4611027	31.70	76.20	83.80	11.00	225.50	32.90
20UPGPQ4611029	33.70	77.20	82.80	11.00	229.00	34.40
20UPGPQ4611031	32.20	76.70	84.30	11.50	225.50	31.40
20UPGPQ4611032	31.20	77.70	84.30	11.50	225.50	31.90
20UPGPQ4611033	34.20	75.70	84.30	10.00	231.00	33.90
20UPGPQ4611034	30.70	77.70	84.30	11.50	226.50	31.90
20UPGPQ4611035	31.20	76.20	84.30	11.00	226.00	31.90
20UPGPQ4611037	34.70	80.20	87.30	9.50	235.00	30.90
20UPGPQ4611038	35.20	81.20	84.30	9.00	230.00	31.90
20UPGPQ4611039	35.20	82.20	84.80	10.00	230.50	32.40
20UPGPQ4611040	37.20	81.20	83.30	10.00	233.50	33.90
20UPGPQ4611041	34.70	81.70	85.30	9.00	231.50	29.90
20UPGPQ4611042	33.20	80.20	84.30	8.50	227.00	27.90
20UPGPQ4611043	31.20	81.20	84.30	10.50	228.00	30.40
20UPGPQ4611044	35.20	83.70	81.30	11.00	230.50	32.40
20UPGPQ4611045	31.20	82.20	82.30	12.50	227.00	31.40
20UPGPQ4611046	30.70	82.70	82.80	11.00	225.00	30.40
20UPGPQ4611047	29.70	82.70	83.30	11.50	225.50	29.40
20UPGPQ4611048	32.20	82.20	83.30	10.50	229.00	31.40
20UPGPQ4611049	33.20	82.20	81.80	12.50	228.00	32.90
20UPGPQ4611050	29.70	81.20	83.80	11.50	226.00	29.40
20UPGPQ4611052	32.20	83.20	83.80	10.50	225.50	28.40
20UPGPQ4611053	33.20	80.70	84.30	11.00	228.50	31.40
20UPGPQ4611054	31.70	81.20	84.30	10.50	223.50	29.40
20UPGPQ4611055	30.70	81.20	84.80	10.50	225.00	28.90
20UPGPQ4611056	31.20	83.70	83.30	10.50	226.00	29.90
20UPGPQ4611057	32.20	81.20	85.30	11.00	232.00	31.90
20UPGPQ4611058	32.70	79.20	83.80	10.00	227.50	30.40
20UPGPQ4611062	30.20	81.20	84.30	10.50	225.00	27.40
20UPGPQ4611063	32.20	79.70	83.80	10.00	224.00	27.40
20UPGPQ4611064	33.20	79.70	83.80	9.50	226.00	27.90
20UPGPQ4611065	31.20	83.20	83.80	11.50	227.50	31.40
20UPGPQ4611066	31.20	82.20	83.80	10.50	224.00	29.40
20UPGPQ4611067	31.70	80.20	84.80	9.00	226.00	27.90
20UPGPQ4611068	31.20	82.20	84.80	10.00	227.50	28.40
20UPGPQ4611069	32.70	81.70	84.30	11.50	230.00	30.90
20UPGPQ4611070	31.20	83.20	84.30	10.50	227.50	28.40
20UPGPQ4611072	32.20	84.20	83.80	10.50	229.00	30.90
20UPGPQ4611073	33.20	82.70	82.30	11.50	229.00	30.90
20UPGPQ4611074	32.20	96.70	85.30	9.50	226.50	27.40
20UPGPQ4611075	31.20	95.70	84.30	11.00	225.50	28.40
20UPGPQ4611076	32.20	95.20	82.80	11.50	224.50	29.40
20UPGPQ4611077	33.70	93.70	85.30	10.50	231.00	30.90
20UPGPQ4611078	31.70	93.20	83.80	11.00	226.50	30.40
20UPGPQ4611079	33.20	93.20	84.30	10.00	228.50	30.40
20UPGPQ4611080	31.70	92.70	84.80	10.00	227.50	29.40
20UPGPQ4611081	34.20	94.20	83.80	11.50	233.50	32.90
20UPGPQ4611082	33.70	92.20	83.80	11.00	230.50	31.90
20UPGPQ4611083	33.20	94.70	84.80	10.50	231.50	29.90
20UPGPQ4611084	33.70	93.20	84.80	11.00	231.00	32.40
20UPGPQ4611085	32.70	97.70	85.80	11.00	228.50	30.90
20UPGPQ4611086	32.70	114.20	86.80	9.50	228.00	28.90
20UPGPQ4611087	34.70	112.70	85.80	10.00	227.50	30.40
20UPGPQ4611088	33.20	112.70	86.80	10.00	230.00	29.90
20UPGPQ4611089	31.20	113.20	85.30	12.00	229.00	29.90
20UPGPQ4611090	32.20	113.70	84.80	11.00	226.50	28.40
20UPGPQ4611091	32.70	94.20	84.30	11.00	227.00	30.40
20UPGPQ4611092	33.20	95.70	84.30	11.50	228.00	29.90
20UPGPQ4611093	31.70	98.70	83.80	11.50	226.00	29.90
20UPGPQ4611094	32.20	112.20	85.80	10.00	226.50	27.90
20UPGPQ4611095	32.20	123.20	87.30	10.00	228.00	29.40
20UPGPQ4611096	34.20	119.70	87.30	9.50	232.00	28.90
20UPGPQ4611097	33.20	119.20	85.80	11.50	232.00	32.40
20UPGPQ4611098	32.70	121.20	85.80	11.50	228.50	30.40
20UPGPQ4611099	31.70	113.20	86.30	9.50	226.50	28.90
20UPGPQ4611100	31.70	112.20	87.30	9.50	228.50	28.90
20UPGPQ4611101	32.70	112.20	86.30	10.50	232.00	31.90
20UPGPQ4611102	33.70	113.20	86.30	10.00	227.00	29.40
20UPGPQ4611103	30.70	113.20	85.80	11.00	227.50	30.90
20UPGPQ4611104	32.20	93.20	86.30	9.00	228.00	28.90
20UPGPQ4611105	32.70	96.20	84.30	10.50	230.00	31.90
20UPGPQ4611106	31.20	94.20	85.30	9.50	227.00	28.90
20UPGPQ4611107	30.70	95.20	83.80	11.50	224.50	29.40
20UPGPQ4611108	31.70	93.20	85.30	10.00	225.50	26.90
20UPGPQ4611109	34.70	92.20	85.30	11.00	233.00	32.40
20UPGPQ4611110	32.70	94.70	85.30	11.00	231.00	31.90
20UPGPQ4611111	32.70	94.20	84.80	11.00	231.00	32.40
20UPGPQ4611112	34.20	96.20	83.80	11.50	231.00	32.90
20UPGPQ4611113	33.70	95.20	84.30	11.50	231.00	32.40
20UPGPQ4611114	32.70	112.70	85.80	10.00	229.50	31.90
20UPGPQ4611115	33.70	112.70	85.80	9.00	229.50	30.40
20UPGPQ4611116	32.20	110.70	85.80	10.50	229.50	29.90
20UPGPQ4611117	30.70	109.70	85.80	12.00	231.00	32.90
20UPGPQ4611118	32.20	110.20	86.30	10.00	228.50	30.90
20UPGPQ4611119	30.20	108.70	86.30	10.00	228.00	29.90
20UPGPQ4611120	31.70	108.20	84.30	12.00	226.50	30.90
20UPGPQ4611121	33.70	105.70	86.30	8.50	231.50	31.40
20UPGPQ4611122	32.20	108.20	84.80	10.50	226.00	30.40
20UPGPQ4611123	31.20	108.20	85.30	11.00	227.00	30.90
20UPGPQ4611124	32.20	106.70	86.80	9.50	230.50	31.90
20UPGPQ4611125	32.70	108.70	86.30	10.00	231.00	30.90
20UPGPQ4611126	32.70	107.20	86.30	8.50	226.00	30.40
20UPGPQ4611127	32.20	107.20	85.80	10.00	227.50	29.90
20UPGPQ4611128	33.20	106.70	86.80	8.50	230.00	30.40
20UPGPQ4611129	31.70	109.20	85.30	11.50	229.50	31.40
20UPGPQ4611132	30.70	107.20	86.30	11.00	228.50	29.90
20UPGPQ4611133	32.70	81.70	84.80	9.50	228.00	30.40
20UPGPQ4611134	31.20	82.20	82.80	10.50	224.50	30.40
20UPGPQ4611135	30.70	81.20	84.30	9.00	224.00	29.40
20UPGPQ4611136	29.70	82.70	82.30	13.50	224.00	32.90
20UPGPQ4611137	31.70	85.20	84.30	13.00	235.00	34.40
20UPGPQ4611138	29.20	84.20	84.30	11.50	225.00	31.40
20UPGPQ4611139	30.70	84.70	83.30	11.00	223.50	30.40
20UPGPQ4611140	29.70	82.70	84.80	9.50	224.50	28.90
20UPGPQ4611141	31.20	88.20	85.30	11.00	230.50	31.40
20UPGPQ4611142	30.70	87.70	84.80	10.50	226.00	31.40
20UPGPQ4611144	30.70	86.70	84.30	11.00	224.00	30.90
20UPGPQ4611146	33.20	89.20	84.30	9.50	225.00	29.90
